index,customer_city,customer_state,geo_lat,geo_lng,avg_delivery_time,total_payment_value,avg_payment_value,max_payment_value,cnt_payment_value,avg_delivery_time_formatted,delivery_time_days
262,Araras,SP,-22.358379440173692,-47.3790159184875,9 days 13:31:33.483870967,15010.42,161.4,1367.23,93,9 days,9
1769,Itapecerica da serra,SP,-23.718524948424957,-46.837149377971095,10 days 00:28:37.784946236,9846.11,105.87,365.61,93,10 days,10
1742,Itajuba,MG,-22.42577735746456,-45.45744478150596,11 days 11:32:00.586956521,15992.36,173.83,1730.87,92,11 days,11
1085,Criciuma,SC,-28.68535226472167,-49.37774764097702,14 days 18:08:02.230769230,16054.82,176.43,1069.22,91,14 days,14
3999,Vinhedo,SP,-23.03708490779331,-46.98355134217,8 days 09:29:18.400000,10382.01,115.36,464.89,90,8 days,8
2584,Palhoca,SC,-27.659304682430935,-48.67162317891996,16 days 06:13:01.655555555,12938.05,143.76,680.26,90,16 days,16
3978,Vicosa,MG,-20.4598760383869,-42.75049339722638,11 days 09:44:03.426966292,18388.27,206.61,1544.62,89,11 days,11
3174,Salto,SP,-23.194391144301928,-47.29211709525486,9 days 21:25:44.853932584,11601.09,130.35,1556.7,89,9 days,9
2528,Olinda,PE,-7.990447744795571,-34.85957456027978,21 days 02:26:41.617977528,15081.42,169.45,1006.77,89,21 days,21
2298,Mogi-guacu,SP,-22.359129146102926,-46.94080598659914,9 days 20:49:56.325842696,13123.01,147.45,1019.11,89,9 days,9
4011,Vitoria da conquista,BA,-14.861982124918269,-40.84038210646742,16 days 12:48:48.579545454,19252.21,218.78,1803.24,88,16 days,16
1902,Jaragua do sul,SC,-26.486252904311925,-49.09934867798066,13 days 09:19:45.465909091,15299.9,173.86,1063.75,88,13 days,13
3939,Varginha,MG,-21.56379859783357,-45.43916088537735,11 days 14:44:24.540229885,15792.73,181.53,3042.36,87,11 days,11
1354,Foz do iguacu,PR,-25.52074909451415,-54.56516602163544,13 days 12:34:44.046511628,13806.35,160.54,598.56,86,13 days,13
2854,Poa,SP,-23.526680508880546,-46.346674629440614,6 days 13:50:27.800000,10803.79,127.1,783.12,85,6 days,6
317,Assis,SP,-22.658034048102273,-50.415587486546556,9 days 18:33:55.321428571,13819.31,164.52,833.1,84,9 days,9
162,Ananindeua,PA,-1.3634159827331058,-48.400218216274865,22 days 20:11:38.928571428,20547.34,244.61,1657.11,84,22 days,22
1887,Jandira,SP,-23.541861802019444,-46.9041991581561,7 days 23:46:04.547619047,9658.31,114.98,616.73,84,7 days,7
1998,Lages,SC,-27.530343090407698,-50.18449966642852,14 days 14:51:43.619047619,13694.33,163.03,1203.68,84,14 days,14
4021,Votorantim,SP,-23.5489003752702,-47.44614919947501,8 days 02:32:55.845238095,12085.64,143.88,1253.03,84,8 days,8
797,Caraguatatuba,SP,-23.640455020867517,-45.415067638728914,11 days 08:19:14.289156626,13412.43,161.6,1031.69,83,11 days,11
181,Angra dos reis,RJ,-22.993207864539503,-44.34946323321094,16 days 14:55:10.469879518,21421.33,258.09,3126.5,83,16 days,16
1020,Conselheiro lafaiete,MG,-20.656800680605887,-43.778734511031296,13 days 12:14:55.731707317,10750.73,131.11,568.59,82,13 days,13
2075,Lorena,SP,-22.738119475359937,-45.11541521864629,10 days 21:22:32.134146341,9137.71,111.44,492.99,82,10 days,10
3415,Sao joao da boa vista,SP,-21.978254218582066,-46.79232170912617,11 days 08:44:35.450000,13428.77,167.86,1083.2,80,11 days,11
2045,Lavras,MG,-21.244708636505745,-44.999201639430474,15 days 21:14:55.637500,14744.86,184.31,1400.03,80,15 days,15
379,Barbacena,MG,-21.22029777615175,-43.77232327626948,12 days 02:33:00.658227848,14209.71,179.87,1305.51,79,12 days,12
468,Birigui,SP,-21.293025519660908,-50.341406747625165,9 days 23:55:48,16626.83,213.16,2512.53,78,9 days,9
1114,Cubatao,SP,-23.905096491839874,-46.42066219608158,10 days 10:26:51.423076923,8105.53,103.92,472.41,78,10 days,10
1778,Itapetininga,SP,-23.58558895350729,-48.04413038763408,9 days 21:28:41.129870129,14048.46,182.45,2276.1,77,9 days,9
1712,Itabira,MG,-19.635861876208786,-43.223458104429184,13 days 01:21:53.298701298,12126.89,157.49,1659.84,77,13 days,13
2552,Ourinhos,SP,-22.978646821418064,-49.87429004970765,10 days 03:38:31.142857142,14325.33,186.04,2938.17,77,10 days,10
2256,Mesquita,RJ,-22.7452913533583,-43.41607494873026,13 days 23:53:31.697368421,11004.89,144.8,514.52,76,13 days,13
274,Araxa,MG,-19.594203758229906,-46.93882477731157,13 days 22:28:06.493333333,15041.85,200.56,918.31,75,13 days,13
3949,Varzea paulista,SP,-23.214893256962373,-46.83604549908296,11 days 11:53:20.920000,12093.68,161.25,2075.48,75,11 days,11
3762,Teofilo otoni,MG,-17.861340711092513,-41.50608209928969,12 days 12:14:22.586666666,9586.61,127.82,690.44,75,12 days,12
3541,Sao roque,SP,-23.533864017480443,-47.12798273094059,9 days 04:57:03.600000,10721.19,142.95,647.54,75,9 days,9
2297,Mogi mirim,SP,-22.431025473375303,-46.95980071830041,7 days 20:16:40.160000,9974.89,133.0,453.58,75,7 days,7
2131,Mairipora,SP,-23.329721686232084,-46.59712215964799,8 days 05:02:04.280000,10363.16,138.18,623.59,75,8 days,8
1754,Itanhaem,SP,-24.18271029899566,-46.801838599988436,11 days 00:15:33.972972973,11370.65,153.66,707.16,74,11 days,11
267,Araruama,RJ,-22.86965694518422,-42.321414936246086,17 days 16:47:26.391891892,18836.77,254.55,4950.34,74,17 days,17
1917,Jau,SP,-22.29221007228505,-48.55661139587327,8 days 06:55:58.383561643,10847.52,148.6,834.12,73,8 days,8
870,Catanduva,SP,-21.134767257648278,-48.972679750101875,8 days 22:01:52.263888888,10922.03,151.69,2060.2,72,8 days,8
604,Cacapava,SP,-23.103659456472645,-45.70814975795845,9 days 19:49:50.972222222,11473.43,159.35,839.88,72,9 days,9
3081,Rio branco,AC,-10.186873039834113,-67.42262406976184,20 days 14:06:25.027777777,16976.49,235.78,1251.7,72,20 days,20
620,Cachoeirinha,RS,-29.902572927899726,-51.069560410704774,14 days 02:20:36.763888889,10975.34,152.44,777.0,72,14 days,14
3746,Tatui,SP,-23.351824824364382,-47.847894064923956,10 days 05:27:18.013888888,12752.93,177.12,672.93,72,10 days,10
3871,Ubatuba,SP,-23.452929299956928,-45.093219408528476,12 days 19:16:53.486111111,9536.95,132.46,806.46,72,12 days,12
2042,Lauro de freitas,BA,-12.885488015742103,-38.315586061972745,17 days 14:51:17.352112676,10785.04,151.9,978.97,71,17 days,17
3971,Viamao,RS,-30.077403833297513,-51.05967185143248,19 days 06:22:34.542857142,7987.71,114.11,1008.3,70,19 days,19
3797,Toledo,PR,-24.72903182838935,-53.73932741523098,13 days 17:49:00.028571428,11688.66,166.98,1092.74,70,13 days,13
414,Barretos,SP,-20.560976773877254,-48.56822273089282,10 days 14:48:11.449275362,10351.45,150.02,1019.34,69,10 days,10
1617,Ilheus,BA,-14.80325647257522,-39.039375681654704,20 days 10:49:57.318840579,10500.1,152.18,826.42,69,20 days,20
2827,Pirassununga,SP,-21.99707102553264,-47.41932529470941,11 days 12:30:06.594202898,9868.55,143.02,795.47,69,11 days,11
689,Campina grande,PB,-7.232442561068649,-35.897346313045006,18 days 04:40:41.671641791,22657.35,338.17,2844.96,67,18 days,18
1488,Guarapari,ES,-20.664492649579046,-40.49964373474364,14 days 23:46:29.515151515,11951.82,181.09,1814.29,66,14 days,14
311,Aruja,SP,-23.3984865027451,-46.32090004012485,6 days 15:01:01.045454545,8103.45,122.78,630.28,66,6 days,6
3425,Sao joao del rei,MG,-21.12806545116071,-44.24752697949135,13 days 09:45:52.500000,9744.43,147.64,780.68,66,13 days,13
2791,Pinhais,PR,-25.43402620091408,-49.180699058893026,10 days 10:18:50.803030303,10103.74,153.09,2314.82,66,10 days,10
2068,Linhares,ES,-19.381430848933448,-40.059187263825635,13 days 14:09:25.359375,13987.34,218.55,1353.28,64,13 days,13
3142,Rondonopolis,MT,-16.46264421969852,-54.629603173233825,16 days 15:47:00.328125,12381.58,193.46,1603.25,64,16 days,16
3122,Rio verde,GO,-17.903112738953276,-50.95253363047703,17 days 07:12:28.281250,11956.42,186.82,1619.73,64,17 days,17
